Index,Version ID,Version Name,Date
1,12312181,1.0,2005-04-26T00:00
2,12312182,1.1,2005-06-13T00:00
3,12312183,1.2,2005-09-16T00:00
4,12312184,1.3-RC1,2006-01-25T00:00
5,12312185,1.3-RC2,2006-02-15T00:00
6,12312186,1.3-RC3,2006-03-06T00:00
7,12312187,1.3,2006-03-17T00:00
8,12312188,1.3.1,2006-03-30T00:00
9,12312189,1.4-RC1,2006-09-17T00:00
10,12312190,1.4-RC2,2006-09-27T00:00
11,12312191,1.4,2006-10-09T00:00
12,12312192,1.4.1,2006-11-09T00:00
13,12312472,2.0.0-alpha-1,2007-04-26T00:00
14,12312473,2.0.0-alpha-2,2007-07-20T00:00
15,12312591,2.0.0-beta-1,2007-12-13T00:00
16,12312887,2.0.0-beta-2,2008-03-04T00:00
17,12313012,2.0-RC1,2008-09-26T00:00
18,12313475,2.0-RC2,2008-11-04T00:00
19,12312237,2.0,2009-01-20T00:00
20,12313696,2.1.0-RC1,2009-03-30T00:00
21,12314062,2.1.0-RC2,2009-07-23T00:00
22,12313842,2.1.0,2009-10-08T00:00
23,12315013,2.2.0-RC1,2010-07-05T00:00
24,12315188,2.2.0,2010-10-04T00:00
25,12313426,2.3.0-RC1,2012-04-19T00:00
26,12320743,2.3.0-RC2,2012-11-12T00:00
27,12323508,2.3.0,2013-01-21T00:00
28,12326648,2.4.0-RC1,2014-03-23T00:00
29,12323983,2.4.0,2014-12-26T00:00
30,12320744,2.5.0-rc1,2018-04-19T00:00
