Index,Version ID,Version Name,Date
1,12310719,0.9,2006-02-14T00:00
2,12310154,1.0,2006-04-08T00:00
3,12310345,1.0.1,2006-06-02T00:00
4,12310346,1.1,2006-10-12T00:00
5,12312099,1.1.1,2006-12-04T00:00
6,12312100,1.2.1,2007-01-23T00:00
7,12312228,1.2.2,2007-02-21T00:00
8,12312329,1.2.3,2007-03-09T00:00
9,12312229,1.3,2007-04-25T00:00
10,12312512,1.3.1,2007-07-31T00:00
11,12312770,1.3.3,2007-10-08T00:00
12,12312447,1.4,2008-01-15T00:00
13,12312977,core 1.4.1,2008-02-20T00:00
14,12313000,core 1.4.2,2008-03-26T00:00
15,12313060,commons 1.4.2,2008-04-02T00:00
16,12313059,rmi 1.4.1,2008-04-08T00:00
17,12312918,1.3.4,2008-04-18T00:00
18,12313113,core 1.4.3,2008-05-08T00:00
19,12313135,core 1.4.4,2008-05-09T00:00
20,12313163,core 1.4.5,2008-06-09T00:00
21,12313440,jcr-server 1.4.1,2008-09-30T00:00
22,12313435,classloader 1.4.1,2008-10-02T00:00
23,12313317,core 1.4.6,2008-10-07T00:00
24,12312920,1.5,2008-12-08T00:00
25,12313554,1.5.2,2009-01-20T00:00
26,12313600,core 1.4.8,2009-01-29T00:00
27,12313599,1.5.3,2009-02-27T00:00
28,12313664,core 1.4.9,2009-03-03T00:00
29,12313663,1.5.4,2009-04-07T00:00
30,12313709,1.5.5,2009-04-28T00:00
31,12313989,2.0-alpha1,2009-06-04T00:00
32,12314023,2.0-alpha3,2009-07-03T00:00
33,12314092,2.0-alpha4,2009-07-14T00:00
34,12314103,1.5.7,2009-08-03T00:00
35,12314146,2.0-alpha7,2009-08-10T00:00
36,12313459,1.6,2009-08-11T00:00
37,12314161,2.0-alpha8,2009-08-18T00:00
38,12314165,2.0-alpha9,2009-08-26T00:00
39,12314207,core 1.4.10,2009-09-15T00:00
40,12314200,2.0-alpha11,2009-09-23T00:00
41,12314240,core 1.4.11,2009-09-24T00:00
42,12314261,2.0-beta1,2009-10-30T00:00
43,12314350,2.0-beta3,2009-11-25T00:00
44,12314412,2.0-beta4,2009-12-12T00:00
45,12314459,2.0-beta5,2010-01-11T00:00
46,12314522,2.0-beta6,2010-01-18T00:00
47,12314162,1.6.1,2010-01-20T00:00
48,12312449,2.0,2010-01-27T00:00
49,12314477,2.1,2010-04-22T00:00
50,12315082,core 1.4.12,2010-06-06T00:00
51,12314541,1.6.2,2010-06-07T00:00
52,12314940,2.1.1,2010-08-11T00:00
53,12315120,1.6.4,2010-10-12T00:00
54,12315228,2.1.2,2010-10-31T00:00
55,12315584,2.1.3,2010-12-07T00:00
56,12314844,2.2,2010-12-15T00:00
57,12315965,2.2.1,2011-01-12T00:00
58,12316060,2.2.2,2011-01-26T00:00
59,12316123,2.2.4,2011-02-15T00:00
60,12316194,2.2.5,2011-03-18T00:00
61,12316382,2.2.7,2011-06-08T00:00
62,12316518,2.2.8,2011-08-23T00:00
63,12318072,1.6.5,2011-09-30T00:00
64,12315901,2.3,2011-10-03T00:00
65,12318242,2.3.1,2011-10-16T00:00
66,12318547,2.3.2,2011-11-02T00:00
67,12318892,2.3.3,2011-11-15T00:00
68,12318249,2.2.10,2011-11-22T00:00
69,12319050,2.3.4,2011-11-29T00:00
70,12319164,2.3.5,2011-12-16T00:00
71,12319192,2.3.6,2012-01-02T00:00
72,12319482,2.3.7,2012-01-24T00:00
73,12318241,2.4,2012-02-07T00:00
74,12319842,2.4.1,2012-04-03T00:00
75,12319843,2.2.12,2012-04-23T00:00
76,12319280,2.5,2012-06-01T00:00
77,12320366,2.4.2,2012-06-10T00:00
78,12321651,2.5.1,2012-08-06T00:00
79,12321740,2.4.3,2012-09-03T00:00
80,12322542,2.5.2,2012-09-23T00:00
81,12320941,2.2.13,2012-10-03T00:00
82,12323296,2.5.3,2013-01-28T00:00
83,12319480,2.6,2013-02-14T00:00
84,12323255,2.4.4,2013-05-10T00:00
85,12323977,2.7,2013-05-13T00:00
86,12324421,2.6.2,2013-06-03T00:00
87,12324617,2.6.3,2013-08-01T00:00
88,12324393,2.7.1,2013-09-16T00:00
89,12324788,2.6.4,2013-10-11T00:00
90,12324995,2.7.2,2013-11-08T00:00
91,12325260,2.6.5,2013-12-02T00:00
92,12325553,2.7.3,2013-12-09T00:00
93,12325673,2.7.4,2014-02-11T00:00
94,12326241,2.7.5,2014-03-17T00:00
95,12326512,2.8,2014-05-12T00:00
96,12327056,2.9,2014-08-28T00:00
97,12327742,2.9.1,2015-02-06T00:00
98,12329098,2.10,2015-03-26T00:00
99,12329719,2.10.1,2015-05-21T00:00
100,12327102,2.8.1,2015-06-04T00:00
101,12333251,2.11.0,2015-08-12T00:00
102,12333286,2.11.1,2015-10-02T00:00
103,12333748,2.11.2,2015-10-25T00:00
104,12333973,2.11.3,2015-12-03T00:00
105,12334842,2.12.0,2016-02-09T00:00
106,12334843,2.12.1,2016-02-26T00:00
107,12332403,2.10.2,2016-03-23T00:00
108,12333148,2.10.3,2016-05-09T00:00
109,12334926,2.12.2,2016-06-23T00:00
110,12334841,2.13.0,2016-07-10T00:00
111,12337869,2.13.1,2016-07-15T00:00
112,12337850,2.12.3,2016-08-16T00:00
113,12337893,2.13.2,2016-08-25T00:00
114,12338117,2.12.4,2016-09-05T00:00
115,12335649,2.10.4,2016-09-09T00:00
116,12338152,2.13.3,2016-09-12T00:00
117,12337874,2.8.3,2016-09-15T00:00
118,12325741,2.6.6,2016-09-17T00:00
119,12325261,2.4.6,2016-09-19T00:00
120,12332447,2.6.7,2016-09-26T00:00
121,12338226,2.13.4,2016-10-10T00:00
122,12338235,2.12.5,2016-11-07T00:00
123,12338630,2.12.6,2016-12-06T00:00
124,12338359,2.13.5,2016-12-07T00:00
125,12338629,2.13.6,2016-12-14T00:00
126,12338862,2.13.7,2016-12-19T00:00
127,12338868,2.14.0,2017-01-03T00:00
128,12338770,2.15.0,2017-01-09T00:00
129,12338211,2.10.5,2017-01-16T00:00
130,12338377,2.8.4,2017-01-23T00:00
131,12332446,2.4.7,2017-01-30T00:00
132,12338303,2.6.8,2017-02-06T00:00
133,12339192,2.8.5,2017-02-20T00:00
134,12338970,2.15.1,2017-03-06T00:00
135,12338836,2.12.7,2017-04-03T00:00
136,12339775,2.15.2,2017-05-01T00:00
137,12338949,2.14.1,2017-05-29T00:00
138,12340458,2.15.3,2017-06-09T00:00
139,12340854,2.15.4,2017-06-23T00:00
140,12339152,2.10.6,2017-07-03T00:00
141,12340610,2.14.2,2017-07-08T00:00
142,12339241,2.4.8,2017-07-17T00:00
143,12341007,2.15.5,2017-07-31T00:00
144,12339448,2.6.9,2017-09-04T00:00
145,12341269,2.15.6,2017-09-07T00:00
146,12341062,2.14.3,2017-09-11T00:00
147,12339615,2.8.6,2017-09-24T00:00
148,12340288,2.12.8,2017-10-04T00:00
149,12341564,2.15.7,2017-10-22T00:00
150,12341565,2.14.4,2017-10-29T00:00
151,12342054,2.15.8,2017-11-12T00:00
152,12338692,2.16,2017-11-20T00:00
153,12341754,2.16.0,2017-11-21T00:00
154,12344599,2.18.0,2017-11-30T00:00
155,12341039,2.10.7,2017-12-06T00:00
156,12342197,2.17.0,2017-12-18T00:00
157,12341658,2.8.7,2017-12-29T00:00
158,12342231,2.17.1,2018-01-30T00:00
159,12342204,2.16.1,2018-02-06T00:00
160,12341439,2.6.10,2018-03-05T00:00
161,12342651,2.17.2,2018-04-04T00:00
162,12342075,2.14.5,2018-04-16T00:00
163,12341692,2.12.9,2018-05-07T00:00
164,12343009,2.17.3,2018-05-11T00:00
165,12342270,2.10.8,2018-06-04T00:00
166,12342721,2.16.2,2018-06-12T00:00
167,12342367,2.8.8,2018-07-03T00:00
168,12343256,2.17.4,2018-07-10T00:00
169,12343563,2.8.9,2018-07-16T00:00
170,12343591,2.17.5,2018-07-25T00:00
171,12343429,2.16.3,2018-07-31T00:00
172,12343056,2.14.6,2018-09-02T00:00
173,12343779,2.17.6,2018-10-01T00:00
174,12344196,2.17.7,2018-11-23T00:00
175,12344600,2.19.0,2018-12-07T00:00
176,12343374,2.10.9,2019-01-07T00:00
177,12344605,2.19.1,2019-02-04T00:00
178,12343658,2.8.10,2019-02-28T00:00
179,12344895,2.19.2,2019-04-05T00:00
180,12344578,2.18.1,2019-04-12T00:00
181,12343790,2.16.4,2019-05-01T00:00
182,12345340,2.19.3,2019-05-06T00:00
183,12345349,2.18.2,2019-05-23T00:00
184,12343984,2.14.7,2019-06-04T00:00
185,12345465,2.19.4,2019-08-21T00:00
186,12345563,2.18.3,2019-08-27T00:00
