Index,Version ID,Version Name,Date
1,12312827,2.5.139-beta,2007-09-18T00:00
2,12312828,2.6.0,2007-12-22T00:00
3,12312899,2.6.1,2008-02-10T00:00
4,12312958,2.6.2,2008-03-29T00:00
5,12313154,2.6.3,2008-06-04T00:00
6,12313361,2.6.4,2008-08-23T00:00
7,12312864,2.8,2008-10-20T00:00
8,12313274,2.8.1,2008-11-21T00:00
9,12313496,2.8.2,2009-03-31T00:00
10,12313766,2.8.3,2009-11-13T00:00
11,12314402,2.8.4,2010-08-31T00:00
12,12319521,2.9,2012-12-01T00:00
13,12321249,2.9.1,2013-05-15T00:00
14,12313986,Graduating,2014-01-08T00:00
15,12323941,2.10,2014-02-01T00:00
16,12325764,2.10.1,2014-05-29T00:00
17,12327049,2.10.2,2016-02-20T00:00
18,12334934,2.10.3,2018-02-13T00:00
19,12342771,2.10.4,2018-05-23T00:00
20,12343310,2.10.5,2018-09-04T00:00
21,12343348,2.11.0-M1,2019-01-29T00:00
22,12343994,2.11.0-M2,2019-03-08T00:00
23,12344900,2.11.0-M3,2019-03-25T00:00
24,12345211,2.11.0-M4,2019-05-18T00:00
