Index,Version ID,Version Name,Date
1,12316203,Lucene.Net 1.4.3,2005-12-15T00:00
2,12316204,Lucene.Net 1.9.1,2006-07-19T00:00
3,12316205,Lucene.Net 1.9.1 RC1 Final,2006-10-11T00:00
4,12316206,Lucene.Net 2.0.0,2007-04-23T00:00
5,12316207,Lucene.Net 2.1.0,2007-12-10T00:00
6,12316208,Lucene.Net 2.3.1,2009-03-20T00:00
7,12316209,Lucene.Net 2.3.2,2009-07-24T00:00
8,12316210,Lucene.Net 2.4.0,2009-08-19T00:00
9,12316211,Lucene.Net 2.9.1,2010-02-17T00:00
10,12316212,Lucene.Net 2.9.2,2011-05-02T00:00
11,12316213,Lucene.Net 2.9.4,2011-11-29T00:00
12,12316479,Lucene.Net 2.9.4g,2012-02-14T00:00
13,12316215,Lucene.Net 3.0.3,2012-10-09T00:00
