Index,Version ID,Version Name,Date
1,12333601,v0.1alpha,2011-01-31T00:00
2,12333602,v0.2beta,2011-07-08T00:00
3,12333603,v0.2.1beta,2011-09-14T00:00
4,12333604,v0.3,2012-02-09T00:00
5,12333605,v0.4,2012-06-18T00:00
6,12333606,v0.5,2012-11-19T00:00
7,12333607,v0.6,2013-04-09T00:00
8,12333608,v0.7,2013-05-09T00:00
9,12333609,v1.0,2013-07-05T00:00
10,12333610,v1.1,2013-08-09T00:00
11,12333611,v1.2,2013-09-10T00:00
12,12333612,v1.3,2013-10-08T00:00
13,12333613,v1.4,2013-11-26T00:00
14,12333614,v1.4.1,2013-12-13T00:00
15,12333615,v1.5,2014-04-08T00:00
16,12333616,v1.6,2014-07-03T00:00
17,12333617,v1.7,2015-01-02T00:00
18,12333621,v1.7.1,2015-03-18T00:00
19,12333618,v1.8,2015-07-19T00:00
20,12334707,v1.9 alpha,2016-03-11T00:00
21,12333622,v1.9,2016-04-06T00:00
22,12335066,v1.9.1,2016-09-18T00:00
23,12335543,v1.10,2017-03-10T00:00
24,12339592,v1.11,2017-05-16T00:00
25,12340360,v1.12,2017-08-28T00:00
26,12341699,v1.13,2017-12-22T00:00
27,12342305,v1.14,2018-05-01T00:00
28,12342844,v1.15,2018-08-10T00:00
29,12343760,v1.15.1,2018-10-15T00:00
30,12344351,v1.16,2019-07-08T00:00
31,12345644,v1.17,2019-09-30T00:00
32,12333619,v2.0,2019-12-31T00:00
33,12344350,v2.1,2020-03-31T00:00
