Index,Version ID,Version Name,Date
1,12330343,2.0,2005-10-15T00:00
2,12330344,2.0.1,2006-01-26T00:00
3,12330345,2.1,2006-05-14T00:00
4,12330346,2.2-beta-1,2007-04-11T00:00
5,12330347,2.2-beta-2,2008-02-29T00:00
6,12330348,2.2-beta-3,2009-01-05T00:00
7,12330349,2.2-beta-4,2009-06-05T00:00
8,12330350,2.2-beta-5,2009-12-13T00:00
9,12330351,2.2,2010-10-11T00:00
10,12330352,2.2.1,2011-02-27T00:00
11,12330353,2.2.2,2011-12-02T00:00
12,12330354,2.3,2012-02-01T00:00
13,12330355,2.4,2012-11-18T00:00
14,12330357,2.4.1,2014-07-30T00:00
15,12330356,2.5,2014-10-26T00:00
16,12330360,2.5.1,2014-11-07T00:00
17,12330361,2.5.2,2014-11-21T00:00
18,12330362,2.5.3,2014-12-17T00:00
19,12330363,2.5.4,2015-04-27T00:00
20,12332381,2.5.5,2015-06-04T00:00
21,12333764,2.6,2015-10-10T00:00
22,12330359,3.0.0,2016-11-11T00:00
23,12338667,3.1.0,2017-08-13T00:00
24,12341358,3.1.1,2019-01-02T00:00
