Index,Version ID,Version Name,Date
1,12330441,1.0,2006-01-02T00:00
2,12330442,2.0-alpha-1,2007-01-09T00:00
3,12330443,2.0-alpha-2,2007-03-15T00:00
4,12330444,2.0-alpha-3,2007-03-17T00:00
5,12330445,2.0-alpha-4,2007-03-24T00:00
6,12330446,2.0,2008-01-22T00:00
7,12330447,2.1,2009-01-10T00:00
8,12330448,2.2,2011-02-15T00:00
9,12330449,2.3,2011-07-10T00:00
10,12330450,2.4,2011-12-05T00:00
11,12330451,2.5,2012-08-04T00:00
12,12330452,2.5.1,2012-08-27T00:00
13,12330453,2.6,2012-11-25T00:00
14,12330454,2.7,2013-03-13T00:00
15,12330455,2.8,2013-05-18T00:00
16,12330456,2.9,2014-09-18T00:00
17,12330457,2.10,2015-01-27T00:00
18,12330458,3.0.0,2016-12-16T00:00
19,12338874,3.0.1,2017-05-11T00:00
20,12341254,3.0.2,2017-09-09T00:00
21,12341595,3.1.0,2018-04-05T00:00
22,12343248,3.1.1,2018-05-19T00:00
