Index,Version ID,Version Name,Date
1,12330857,2.0-beta-3,2005-12-19T00:00
2,12330858,2.0,2006-05-14T00:00
3,12330859,2.1,2006-10-09T00:00
4,12330860,2.2,2006-12-13T00:00
5,12330861,2.3,2007-07-21T00:00
6,12330862,2.4,2008-03-08T00:00
7,12330863,2.5,2008-08-26T00:00
8,12330864,2.6,2009-07-29T00:00
9,12330865,2.6.1,2009-10-26T00:00
10,12330866,2.7,2010-05-04T00:00
11,12330867,2.8,2011-05-06T00:00
12,12330868,2.8.1,2012-01-23T00:00
13,12330869,2.9,2012-09-23T00:00
14,12330870,2.9.1,2013-06-28T00:00
15,12330871,2.10,2014-09-20T00:00
16,12330872,2.10.1,2014-09-26T00:00
17,12330873,2.10.2,2015-03-17T00:00
18,12330876,2.10.3,2015-04-14T00:00
19,12331967,2.10.4,2016-06-10T00:00
20,12341134,3.0.0-M1,2017-07-21T00:00
21,12330875,3.0.0,2017-12-06T00:00
22,12342283,3.0.1,2018-05-28T00:00
23,12343313,3.1.0,2019-03-04T00:00
24,12345060,3.1.1,2019-07-08T00:00
