Index,Version ID,Version Name,Date
1,12331194,2.0-beta-4,2006-05-14T00:00
2,12331195,2.0-beta-5,2007-05-05T00:00
3,12331196,2.0-beta-6,2007-05-25T00:00
4,12331197,2.0-beta-7,2007-10-27T00:00
5,12331198,2.0-beta-8,2008-10-30T00:00
6,12331199,2.0-beta-9,2009-03-28T00:00
7,12331200,2.0,2010-02-10T00:00
8,12331201,2.1,2010-10-08T00:00
9,12331202,2.2,2011-06-30T00:00
10,12331203,2.2.1,2011-08-02T00:00
11,12331204,2.2.2,2011-12-16T00:00
12,12331205,2.3,2012-05-11T00:00
13,12331206,2.3.1,2012-05-25T00:00
14,12331207,2.3.2,2012-06-15T00:00
15,12331208,2.4,2012-12-16T00:00
16,12331209,2.4.1,2013-03-26T00:00
17,12331210,2.4.2,2013-10-28T00:00
18,12331211,2.5,2014-03-04T00:00
19,12331212,2.5.1,2014-09-22T00:00
20,12331215,2.5.2,2015-04-22T00:00
21,12333767,2.5.3,2015-10-17T00:00
