Index,Version ID,Version Name,Date
1,12331372,1.0-alpha-15,2007-12-14T00:00
2,12331373,1.0-beta-1,2008-01-16T00:00
3,12331374,1.0,2008-03-04T00:00
4,12331375,1.0.1,2008-03-20T00:00
5,12331376,1.1,2008-05-27T00:00
6,12331377,1.2,2008-10-17T00:00
7,12331378,1.2.1,2009-04-17T00:00
8,12331379,1.2.2,2009-11-26T00:00
9,12331380,1.3,2010-01-03T00:00
10,12331381,1.3.1,2010-01-21T00:00
11,12331382,1.3.2,2010-03-25T00:00
12,12331383,1.3.3,2010-05-20T00:00
13,12331384,1.4,2010-08-11T00:00
14,12331385,1.5,2011-10-31T00:00
15,12331386,1.6,2012-03-18T00:00
16,12331387,1.7,2012-06-01T00:00
17,12331388,1.7.1,2012-06-30T00:00
18,12331389,2.0,2012-09-06T00:00
19,12331390,2.1,2013-05-20T00:00
20,12331391,2.2,2013-11-28T00:00
21,12331392,2.3,2014-05-02T00:00
22,12331393,2.4,2015-06-11T00:00
23,12332978,2.4.1,2015-07-14T00:00
24,12333008,2.4.2,2015-10-28T00:00
25,12333879,2.4.3,2016-01-06T00:00
26,12331395,3.0.0,2017-01-28T00:00
27,12339197,3.1.0,2017-08-22T00:00
28,12341390,3.1.1,2018-04-02T00:00
29,12343491,3.2.0,2018-09-09T00:00
30,12344059,3.2.1,2018-11-11T00:00
