Index,Version ID,Version Name,Date
1,12331513,2.0-beta-5,2006-05-14T00:00
2,12331514,2.0-beta-6,2007-11-28T00:00
3,12331515,2.0-beta-7,2008-07-02T00:00
4,12331516,2.0,2009-03-11T00:00
5,12331517,2.0.1,2009-07-14T00:00
6,12331518,2.1,2009-12-21T00:00
7,12331519,2.1.1,2010-06-04T00:00
8,12331523,3.0-beta-1,2010-08-10T00:00
9,12331524,3.0-beta-2,2010-09-07T00:00
10,12331525,3.0-beta-3,2010-10-21T00:00
11,12331520,2.2,2010-11-28T00:00
12,12331521,2.3,2011-05-23T00:00
13,12331526,3.0,2011-08-02T00:00
14,12331522,2.4,2012-04-26T00:00
15,12331527,3.1,2012-04-30T00:00
16,12331528,3.2,2012-10-14T00:00
17,12331529,3.3,2013-05-13T00:00
18,12331530,3.4,2014-07-07T00:00
19,12331531,3.5,2016-02-19T00:00
20,12334899,3.5.1,2016-04-15T00:00
21,12335570,3.6,2016-11-17T00:00
22,12338726,3.7,2017-12-31T00:00
23,12342371,3.7.1,2018-04-27T00:00
24,12343145,3.8.2,2019-07-24T00:00
