Index,Version ID,Version Name,Date
1,12331745,2.0,2006-05-14T00:00
2,12331746,2.0.1,2006-06-28T00:00
3,12331747,2.0.2,2007-01-11T00:00
4,12331748,2.1-alpha-1,2007-10-19T00:00
5,12331749,2.1-alpha-2,2008-08-14T00:00
6,12331750,2.1-beta-1,2009-03-22T00:00
7,12331751,2.1,2010-08-18T00:00
8,12331752,2.1.1,2010-11-03T00:00
9,12331753,2.2,2012-02-01T00:00
10,12331754,2.3,2012-10-01T00:00
11,12331755,2.4,2013-07-08T00:00
12,12331756,2.5,2014-10-08T00:00
13,12331757,2.6,2015-01-11T00:00
14,12331760,3.0.0,2016-08-24T00:00
15,12338167,3.1.0,2017-04-26T00:00
16,12341372,3.2.0,2017-09-30T00:00
17,12341729,3.2.1,2018-05-09T00:00
18,12343264,3.2.2,2018-06-03T00:00
19,12343424,3.2.3,2019-05-23T00:00
