Index,Version ID,Version Name,Date
1,10960,1.0.7 beta,2004-10-11T00:00
2,11102,1.0.9m9,2005-03-31T00:00
3,11074,1.1.0,2005-09-19T00:00
4,12310262,1.1.1,2005-10-27T00:00
5,12310960,1.1.2,2006-04-17T00:00
6,12311042,1.1.3,2006-05-08T00:00
7,12312061,1.1.4,2006-09-18T00:00
8,12312310,1.1.5,2007-02-16T00:00
9,12312576, 1.2.0,2007-07-17T00:00
10,12312932,1.2.2,2008-01-25T00:00
11,12313144,1.2.3,2008-05-11T00:00
12,12312312,1.1.6,2008-08-16T00:00
13,12313378,1.2.4,2008-08-30T00:00
14,12313492,1.2.5,2008-11-03T00:00
15,12313611,1.2.6,2009-01-26T00:00
16,12314012,1.2.7,2009-06-06T00:00
17,12314390,1.2.8,2009-11-24T00:00
18,12313389,2.0.0-alpha,2009-11-28T00:00
19,12314537,2.0.0-beta,2010-02-01T00:00
20,12314539,2.0.0-beta-2,2010-02-19T00:00
21,12314776,2.0.0-beta-3,2010-03-26T00:00
22,12314890,2.0.0,2010-04-21T00:00
23,12315113,1.2.9,2010-06-11T00:00
24,12315117,2.0.1,2010-07-19T00:00
25,12315348,2.0.2,2010-09-25T00:00
26,12315976,2.0.3,2010-12-16T00:00
27,12316153,2.0.4,2011-02-12T00:00
28,12315978,1.2.10,2011-03-01T00:00
29,12316154,1.1.9,2011-03-22T00:00
30,12316346,2.0.5,2011-04-10T00:00
31,12315190,2.1.0,2011-05-29T00:00
32,12316463,2.1.1,2011-06-13T00:00
33,12316512,2.1.2,2011-08-28T00:00
34,12317642,2.1.3,2011-09-17T00:00
35,12317868,2.1.4,2011-11-21T00:00
36,12319076,2.1.5,2011-12-03T00:00
37,12319173,2.1.6,2012-02-06T00:00
38,12319845,2.1.7,2012-04-11T00:00
39,12320759,2.1.8,2012-06-18T00:00
40,12321755,2.1.9,2012-09-23T00:00
41,12323259,2.1.10,2012-12-05T00:00
42,12323553,2.1.11,2013-04-01T00:00
43,12324285,2.1.12,2013-06-06T00:00
44,12324569,2.1.13,2013-10-28T00:00
45,12325294,2.2.0-beta,2013-10-29T00:00
46,12316396,2.2.0,2014-01-13T00:00
47,12325868,2.2.1,2014-03-08T00:00
48,12326474,2.2.2,2014-03-20T00:00
49,12326543,2.2.3,2014-04-28T00:00
50,12326802,2.2.4,2014-07-01T00:00
51,12327190,2.2.5,2014-09-22T00:00
52,12328703,2.2.6,2014-11-17T00:00
53,12329014,2.2.7,2015-01-12T00:00
54,12329267,2.2.8,2015-04-13T00:00
55,12331973,2.2.9,2015-12-15T00:00
56,12329269,2.1.18,2016-03-31T00:00
57,12334206,2.2.10,2016-04-12T00:00
58,12335743,2.2.11,2016-09-19T00:00
59,12338284,2.2.12,2017-02-06T00:00
60,12340857,2.3.0-beta,2017-06-27T00:00
61,12339569,2.3.0,2018-03-06T00:00
62,12342790,2.3.1,2018-05-03T00:00
63,12343156,2.3.2,2018-09-11T00:00
64,12344007,2.3.3,2019-01-31T00:00
65,12344874,2.3.4,2019-05-17T00:00
