Index,Version ID,Version Name,Date
1,12327172,V2 0.0.0,2013-10-01T00:00
2,12324804,V2 1.0.0,2013-10-16T00:00
3,12325001,V2 1.1.0,2014-02-10T00:00
4,12325266,V2 1.2.0,2014-03-24T00:00
5,12327170,V2 2.0.0,2014-07-11T00:00
6,12325571,(Java) V4 4.0.0-beta-01,2014-09-23T00:00
7,12327171,V2 2.0.1,2014-11-06T00:00
8,12327255,(Java) V4 4.0.0-beta-02,2015-01-29T00:00
9,12328918,V2 2.0.2,2015-01-30T00:00
10,12329346,V2 2.0.3,2015-03-05T00:00
11,12328700,(JS) V4 4.0.0,2015-04-09T00:00
12,12329347,(Java) V4 4.0.0-beta-03,2015-05-11T00:00
13,12329640,V2 2.0.4,2015-05-31T00:00
14,12332356,(Java) V4 4.0.0,2015-09-21T00:00
15,12332480,V2 2.0.5,2015-10-05T00:00
16,12333625,(Java) V4 4.1.0,2015-12-21T00:00
17,12333752,V2 2.0.6,2016-01-29T00:00
18,12334357,(Java) V4 4.2.0,2016-04-05T00:00
19,12334757,V2 2.0.7,2016-08-17T00:00
20,12335441,(Java) V4 4.3.0,2016-09-19T00:00
21,12338123,V2 2.0.8,2017-01-23T00:00
22,12339194,V2 2.0.9,2017-07-08T00:00
23,12338257,(Java) V4 4.4.0,2017-09-01T00:00
24,12341072,V2 2.0.10,2017-12-06T00:00
25,12341547,(Java) V4 4.5.0,2018-08-13T00:00
26,12342435,V2 2.0.11,2019-02-16T00:00
27,12344164,(Java) V4 4.6.0,2019-05-05T00:00
