Index,Version ID,Version Name,Date
1,12316430,0.1-INCUBATING,2011-06-29T00:00
2,12316456,0.3-INCUBATING,2011-09-19T00:00
3,12317561,0.4-INCUBATING,2011-10-11T00:00
4,12317562,0.5-INCUBATING,2011-11-09T00:00
5,12317563,0.6-INCUBATING,2012-01-13T00:00
6,12318346,0.7-INCUBATING,2012-01-30T00:00
7,12319452,0.8-INCUBATING,2012-02-17T00:00
8,12319861,0.9-INCUBATING,2012-03-20T00:00
9,12320741,0.10.1,2012-04-13T00:00
10,12320545,0.11,2012-05-08T00:00
11,12321248,0.12,2012-06-05T00:00
12,12321646,0.13,2012-06-30T00:00
13,12321699,0.14,2012-08-07T00:00
14,12322516,0.15,2012-09-16T00:00
15,12323292,0.16,2012-10-06T00:00
16,12323343,0.18,2012-12-10T00:00
17,12323595,0.19,2013-01-14T00:00
18,12323896,0.20,2013-02-14T00:00
19,12324054,0.21,2013-03-31T00:00
20,12324300,0.21.1,2013-05-10T00:00
21,12324115,0.22,2013-07-13T00:00
22,12324752,0.23,2014-01-21T00:00
