Index,Version ID,Version Name,Date
1,12313553,1.0,2009-06-19T00:00
2,12313552,1.1-BETA1,2009-07-22T00:00
3,12314099,1.1-BETA2,2009-09-11T00:00
4,12314143,1.1-BETA3,2009-09-24T00:00
5,12314249,1.1-BETA4,2009-11-09T00:00
6,12314355,1.1-BETA5,2009-11-23T00:00
7,12314104,1.0.1,2010-05-10T00:00
8,12314413,2.0.0-RC2,2010-08-10T00:00
9,12314100,2.0.0,2010-09-07T00:00
10,12315354,2.0.2,2010-10-30T00:00
11,12315355,2.0.3,2010-12-01T00:00
12,12315324,2.5.0-beta1,2012-03-29T00:00
13,12321670,2.5.0-beta2,2012-06-25T00:00
14,12321866,2.5.0-beta3,2012-07-31T00:00
15,12322494,2.5.0-beta4,2012-09-08T00:00
16,12323245,2.5.0-beta5,2012-11-01T00:00
17,12323467,2.5.0-beta6,2013-03-15T00:00
18,12320364,2.5.0,2013-08-04T00:00
19,12324884,2.5.0-update1,2013-10-21T00:00
20,12324766,2.5.1,2014-03-04T00:00
21,12326440,2.5.2,2014-11-25T00:00
