Index,Version ID,Version Name,Date
1,12331644,1.5.2 (2.1.2 plugin),2006-01-09T00:00
2,12331645,1.5.3 (2.1.3 plugin),2006-04-03T00:00
3,12331646,2.0 Report Plugin,2006-04-20T00:00
4,12331648,2.3,2007-02-23T00:00
5,12331649,2.3.1,2007-12-18T00:00
6,12331650,2.4,2008-01-14T00:00
7,12331651,2.4.1,2008-02-05T00:00
8,12331652,2.4.2,2008-02-19T00:00
9,12331653,2.4.3,2008-05-14T00:00
10,12331654,2.5,2010-01-17T00:00
11,12331655,2.6,2010-08-16T00:00
12,12331656,2.7,2010-12-19T00:00
13,12331657,2.7.1,2010-12-26T00:00
14,12331658,2.7.2,2011-01-25T00:00
15,12331659,2.8,2011-03-13T00:00
16,12331660,2.8.1,2011-04-16T00:00
17,12331661,2.9,2011-06-18T00:00
18,12331662,2.10,2011-09-30T00:00
19,12331663,2.11,2011-12-04T00:00
20,12331664,2.12,2012-02-01T00:00
21,12331665,2.12.1,2012-08-01T00:00
22,12331666,2.12.2,2012-08-10T00:00
23,12331669,2.12.3,2012-08-28T00:00
24,12331670,2.12.4,2012-09-27T00:00
25,12331671,2.13,2012-12-27T00:00
26,12331672,2.14,2013-03-08T00:00
27,12331673,2.14.1,2013-04-10T00:00
28,12331674,2.15,2013-06-10T00:00
29,12331675,2.16,2013-08-16T00:00
30,12331676,2.17,2014-03-16T00:00
31,12331677,2.18,2014-11-04T00:00
32,12331678,2.18.1,2014-12-28T00:00
33,12331679,2.19,2015-10-18T00:00
34,12333959,2.19.1,2016-01-03T00:00
35,12334636,2.20,2017-04-13T00:00
36,12340297,2.20.1,2017-09-15T00:00
37,12341630,2.21.0,2018-03-06T00:00
38,12343247,2.22.0,2018-06-16T00:00
39,12343425,2.22.1,2018-10-11T00:00
40,12342871,3.0.0-M1,2018-11-07T00:00
41,12344396,3.0.0-M2,2018-12-09T00:00
42,12342872,3.0.0-M3,2018-12-23T00:00
43,12345433,2.22.2,2019-05-04T00:00
44,12344668,3.0.0-M4,2019-08-31T00:00
