Index,Version ID,Version Name,Date
1,12333417,M3,2001-08-30T00:00
2,12333423,M5,2001-10-19T00:00
3,12333432,0.13.0,2002-06-10T00:00
4,12333419,0.14.0,2002-07-23T00:00
5,12333436,0.14.2,2002-08-22T00:00
6,12333441,0.14.3,2002-09-20T00:00
7,12333445,0.14.4,2002-10-29T00:00
8,12333447,0.15,2002-11-07T00:00
9,12333454,0.16,2002-12-04T00:00
10,12333440,0.17,2003-01-20T00:00
11,12333442,0.18,2003-02-19T00:00
12,12333462,0.19,2003-03-10T00:00
13,12333463,0.20,2003-03-20T00:00
14,12333439,0.21,2003-04-15T00:00
15,12333449,0.22,2003-05-07T00:00
16,12333443,0.23,2003-05-16T00:00
17,12333468,0.24,2003-06-15T00:00
18,12333457,0.25,2003-07-11T00:00
19,12333459,0.26,2003-07-24T00:00
20,12333451,0.27,2003-08-12T00:00
21,12333428,0.28.0,2003-08-27T00:00
22,12333467,0.29,2003-09-05T00:00
23,12333437,0.30,2003-09-24T00:00
24,12333461,0.31,2003-10-08T00:00
25,12333448,0.32,2003-10-22T00:00
26,12333456,0.33,2003-11-13T00:00
27,12333475,0.34,2003-12-03T00:00
28,12333477,0.35,2003-12-12T00:00
29,12333416,1.0.0,2004-02-23T00:00
30,12333478,1.0.1,2004-03-12T00:00
31,12333660,1.0.2,2004-04-15T00:00
32,12333470,1.1.0,2004-09-29T00:00
33,12333661,1.1.1,2004-10-22T00:00
34,12333662,1.1.2,2004-12-20T00:00
35,12333466,1.2.0,2005-05-21T00:00
36,12333474,1.3.0,2005-12-30T00:00
37,12333450,1.4.0,2006-09-10T00:00
38,12333492,1.4.2,2006-11-02T00:00
39,12333493,1.4.3,2007-01-18T00:00
40,12333479,1.4.4,2007-05-30T00:00
41,12333427,1.5.0,2008-06-19T00:00
42,12333486,1.5.1,2008-07-26T00:00
43,12333501,1.5.2,2008-08-30T00:00
44,12333503,1.5.3,2008-10-10T00:00
45,12333496,1.5.5,2008-12-22T00:00
46,12333500,1.5.6,2009-02-26T00:00
47,12333446,1.6.0,2009-03-20T00:00
48,12333483,1.6.1,2009-04-09T00:00
49,12333506,1.6.2,2009-05-11T00:00
50,12333499,1.6.3,2009-06-22T00:00
51,12333498,1.6.5,2009-08-22T00:00
52,12333505,1.6.6,2009-10-22T00:00
53,12333491,1.6.9,2010-01-25T00:00
54,12333509,1.6.11,2010-04-19T00:00
55,12333504,1.6.12,2010-06-21T00:00
56,12333502,1.6.13,2010-10-01T00:00
57,12333508,1.6.15,2010-11-26T00:00
58,12333510,1.6.17,2011-06-01T00:00
59,12333431,1.7.0,2011-10-11T00:00
60,12333511,1.7.1,2011-10-24T00:00
61,12333495,1.7.2,2011-12-02T00:00
62,12333515,1.7.3,2012-02-14T00:00
63,12333516,1.7.4,2012-03-08T00:00
64,12333514,1.6.18,2012-03-29T00:00
65,12335673,1.7.5,2012-05-17T00:00
66,12333517,1.7.7,2012-10-09T00:00
67,12333512,1.7.8,2012-12-17T00:00
68,12333518,1.7.9,2013-04-04T00:00
69,12333663,1.7.10,2013-05-30T00:00
70,12333453,1.8.0,2013-06-18T00:00
71,12333520,1.8.1,2013-07-23T00:00
72,12333521,1.8.3,2013-08-29T00:00
73,12333523,1.8.4,2013-10-29T00:00
74,12333525,1.8.5,2013-11-25T00:00
75,12333519,1.8.8,2014-02-19T00:00
76,12333657,1.7.16,2014-02-24T00:00
77,12333667,1.8.11,2014-12-15T00:00
78,12333522,1.8.13,2015-03-31T00:00
79,12333469,1.9.0,2015-08-05T00:00
80,12333668,1.9.1,2015-09-02T00:00
81,12333670,1.9.2,2015-09-30T00:00
82,12333744,1.9.3,2015-12-15T00:00
83,12334358,1.9.4,2016-04-28T00:00
84,12335671,1.9.5,2016-11-29T00:00
85,12338784,1.9.6,2017-07-06T00:00
86,12338785,1.8.18,2017-07-07T00:00
87,12341416,1.10.0-alpha3,2017-07-26T00:00
88,12341373,1.9.7,2017-08-10T00:00
89,12333534,1.10.0,2018-04-13T00:00
90,12343778,1.9.9,2018-07-20T00:00
