Index,Version ID,Version Name,Date
1,12310824,1.0.7,2006-05-06T00:00
2,12310900,1.0.8,2006-09-16T00:00
3,12312042,1.0.9,2006-12-23T00:00
4,12312204,1.0.10,2007-03-12T00:00
5,12312376,1.0.11,2007-06-03T00:00
6,12312498,1.0.12,2007-10-19T00:00
7,12312766,1.0.13,2007-12-18T00:00
8,12312878,1.0.14,2008-01-26T00:00
9,12312929,1.0.15,2008-02-18T00:00
10,12312966,1.0.16,2008-04-16T00:00
11,12313084,1.0.17,2008-05-20T00:00
12,12313150,1.0.18,2008-08-26T00:00
13,12313372,1.0.19,2008-10-03T00:00
14,12313447,1.0.20,2008-10-26T00:00
15,12313470,1.0.21,2009-06-12T00:00
16,12314027,1.0.22,2009-08-16T00:00
17,12314159,1.0.23,2009-09-06T00:00
18,12314331,1.5.0-alpha-1,2009-10-23T00:00
19,12314193,1.0.24,2010-01-22T00:00
20,12314527,1.0.25,2010-05-01T00:00
21,12314961,1.0.26,2010-06-04T00:00
22,12315099,1.0.27,2010-06-07T00:00
23,12315109,1.0.28,2010-08-18T00:00
24,12315262,1.0.29,2010-09-23T00:00
25,12315336,1.0.30,2010-10-06T00:00
26,12315383,1.0.31,2010-11-04T00:00
27,12315489,1.0.32,2010-11-30T00:00
28,12315586,1.0.33,2011-02-08T00:00
29,12316162,1.0.34,2011-02-23T00:00
30,12316183,1.0.35,2011-03-13T00:00
31,12316297,1.0.36,2011-05-13T00:00
32,12316222,1.5.0-beta-1,2011-07-15T00:00
33,12317350,1.0.38,2011-10-23T00:00
34,12317052,1.5.0-beta-2,2011-11-09T00:00
35,12312205,1.5.0,2011-11-30T00:00
36,12319154,1.5.1,2011-12-12T00:00
37,12319248,1.5.2,2012-01-24T00:00
38,12319499,1.5.3,2012-02-15T00:00
39,12319455,1.0.39,2012-02-19T00:00
40,12319864,1.5.4,2012-03-05T00:00
41,12319865,1.5.5,2012-05-11T00:00
42,12321251,1.5.6,2012-05-21T00:00
43,12321691,1.6.0-beta-1,2012-06-06T00:00
44,12321701,1.6.0-beta-2,2012-06-27T00:00
45,12321444,1.5.7,2012-07-11T00:00
46,12322450,1.5.8,2012-10-25T00:00
47,12323506,1.5.9,2013-03-04T00:00
48,12324008,1.5.10,2013-05-27T00:00
49,12321874,2.0.0-alpha-1,2013-08-07T00:00
50,12324818,2.0.0-alpha-2,2013-10-14T00:00
51,12324453,1.5.11,2013-11-11T00:00
52,12325247,2.0.0-alpha-3,2014-01-07T00:00
53,12325597,1.5.12,2014-01-11T00:00
54,12325856,2.0.0-beta-1,2014-03-25T00:00
55,12326662,2.0.0-beta-2,2014-03-31T00:00
56,12326693,2.0.0-beta-3,2014-05-05T00:00
57,12326809,2.0.0-beta-4,2014-06-02T00:00
58,12321253,2.0.0,2014-07-21T00:00
59,12327455,2.0.1,2014-08-06T00:00
60,12327500,2.0.2,2014-08-26T00:00
61,12328040,2.0.3,2014-10-12T00:00
62,12328041,2.0.4,2014-11-22T00:00
63,12329025,2.0.5,2014-12-20T00:00
64,12329161,2.0.6,2015-02-24T00:00
65,12329376,2.0.7,2015-03-22T00:00
66,12329723,2.0.8,2015-06-09T00:00
67,12326705,1.0.42,2015-07-16T00:00
68,12325881,3.0.0-alpha-1,2015-11-11T00:00
69,12333887,3.0.0-alpha-2,2015-12-21T00:00
70,12332146,2.0.9,2016-02-01T00:00
71,12334363,3.0.0-alpha-3,2016-04-20T00:00
72,12337842,3.0.0-alpha-4,2016-07-17T00:00
73,12338164,3.0.0-alpha-5,2016-08-28T00:00
74,12334742,2.0.10,2016-09-08T00:00
75,12338231,3.0.0-alpha-6,2016-09-20T00:00
76,12338278,3.0.0-alpha-7,2016-11-01T00:00
77,12333888,3.0.0-beta-1,2016-12-07T00:00
78,12325880,3.0.0,2016-12-16T00:00
79,12338730,3.0.1,2017-01-17T00:00
80,12339171,3.0.2,2017-01-23T00:00
81,12339442,3.0.3,2017-02-05T00:00
82,12340258,3.0.4,2017-04-09T00:00
83,12338208,2.1.0,2017-06-20T00:00
84,12340325,3.0.5,2017-08-15T00:00
85,12341574,3.0.6,2017-09-19T00:00
86,12338728,4.0.0,2017-12-07T00:00
87,12341246,2.1.1,2018-01-29T00:00
88,12339443,4.1.0,2018-02-12T00:00
89,12342739,4.2.0,2018-04-25T00:00
90,12342849,4.2.1,2018-05-09T00:00
91,12342850,4.3.0,2018-09-26T00:00
92,12343979,2.3.0,2018-11-02T00:00
93,12343951,4.3.1,2018-11-05T00:00
94,12344394,4.3.2,2018-11-27T00:00
95,12344409,2.4.0,2019-01-29T00:00
96,12344899,2.4.1,2019-03-14T00:00
97,12344541,4.4.0,2019-03-15T00:00
98,12345061,4.4.1,2019-05-28T00:00
