Index,Version ID,Version Name,Date
1,12311786,1.1.0 (alpha),2003-08-26T00:00
2,12311688,1.1.1 (alpha),2003-12-15T00:00
3,12311935,1.1.2 (alpha),2004-04-03T00:00
4,12311936,1.1.3 Release,2004-08-25T00:00
5,12311937,1.1.4 Release,2004-12-11T00:00
6,12311749,1.2.0 Release,2005-11-15T00:00
7,12311733,1.3.0 Release,2006-03-24T00:00
8,12311934,1.3.1 Release,2006-12-01T00:00
9,12312009,1.4.0 Release,2012-02-03T00:00
10,12320156,1.4.1 Release,2015-01-13T00:00
11,12329277,1.5.0,2015-11-24T00:00
12,12334226,1.5.1,2016-04-30T00:00
13,12335686,1.6,2017-02-21T00:00
