Index,Version ID,Version Name,Date
1,11072,Version 1.0.4,2004-02-24T00:00
2,10763,Version 1.0.3,2004-06-28T00:00
3,10911,Version 2 Beta 1,2005-02-24T00:00
4,10445,Version 2,2005-06-30T00:00
5,12310100,Version 2.1,2005-11-16T00:00
6,12311952,Version 2.2,2006-06-23T00:00
7,12312466, Version 2.3,2007-06-01T00:00
8,12313411,Version 2.4 ,2008-07-08T00:00
9,12314308,Version 2.5,2009-12-14T00:00
10,12315130,Version 2.6,2012-08-14T00:00
11,12343359,Version 3.0.0,2018-06-29T00:00
12,12343923,Version 3.0.1,2018-08-25T00:00
13,12344051,Version 3.0.2,2018-10-28T00:00
14,12344859,Version 3.1.0,2019-03-26T00:00
